PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
1,ELIAS PARK PRIMARY SCHOOL,EAST,E1,1,1,0,5,5,1,A,1.375,103.9452
2,HAI SING CATHOLIC SCHOOL,EAST,E1,1,0,1,10,5,0.5,C,1.3745734,103.9551579
3,LOYANG VIEW SECONDARY SCHOOL,EAST,E1,1,0,1,8,5,0.625,C,1.3664422,103.9575296
4,MERIDIAN PRIMARY SCHOOL,EAST,E1,1,1,0,5,2,0.4,D,1.37603155,103.9351592
5,MERIDIAN SECONDARY SCHOOL,EAST,E1,1,0,1,8,3,0.375,D,1.36757525,103.9489427
6,PASIR RIS CREST SECONDARY SCHOOL,EAST,E1,1,0,1,8,3,0.375,D,1.37271,103.959761
7,PUNGGOL COVE PRIMARY SCHOOL,EAST,E1,1,1,0,6,0,0,E,1.41177135,103.8992443
8,PUNGGOL GREEN PRIMARY SCHOOL,EAST,E1,1,1,0,7,6,0.857142857,B,1.40195935,103.8985497
9,PUNGGOL VIEW PRIMARY SCHOOL,EAST,E1,1,1,0,8,7,0.875,B,1.40532215,103.9052658
10,VALOUR PRIMARY SCHOOL,EAST,E1,1,1,0,6,0,0.166666667,E,1.4072779,103.8988557
11,YUSOF ISHAK SECONDARY SCHOOL,EAST,E1,1,0,1,5,5,1,A,1.4071,103.8965
12,BEDOK GREEN PRIMARY SCHOOL,EAST,E2,2,1,0,7,2,0.285714286,D,1.3237085,103.9378554
13,BEDOK GREEN SECONDARY SCHOOL,EAST,E2,2,0,1,8,4,0.333333333,D,1.334061,103.9358583
14,BEDOK SOUTH SECONDARY SCHOOL,EAST,E2,2,0,1,6,5,0.833333333,B,1.3255597,103.9510283
15,BEDOK VIEW SECONDARY SCHOOL,EAST,E2,2,0,1,7,3,0.3,D,1.32449075,103.9435422
16,FENGSHAN PRIMARY SCHOOL,EAST,E2,2,1,0,7,1,0.142857143,E,1.3300987,103.9318825
17,JUNYUAN PRIMARY SCHOOL,EAST,E2,2,1,0,5,0,0,E,1.347782,103.9393972
18,POI CHING SCHOOL,EAST,E2,2,1,0,8,3,0.375,D,1.3577705,103.9354999
19,RED SWASTIKA SCHOOL,EAST,E2,2,1,0,9,1,0.111111111,E,1.3336412,103.9346186
20,TEMASEK PRIMARY SCHOOL,EAST,E2,2,1,0,6,1,0.166666667,E,1.31776147,103.9454555
21,TEMASEK SECONDARY SCHOOL,EAST,E2,2,0,1,8,3,0.375,D,1.3163525,103.9478003
22,YU NENG PRIMARY SCHOOL,EAST,E2,2,1,0,6,6,1,A,1.33420445,103.9328103
23,ANGSANA PRIMARY SCHOOL,EAST,E3,3,1,0,5,4,0.8,B,1.363118388,103.9390041
24,CHONGZHENG PRIMARY SCHOOL,EAST,E3,3,1,0,5,1,0.2,E,1.35054425,103.9509206
25,DUNMAN SECONDARY SCHOOL,EAST,E3,3,0,1,8,3,0.416666667,D,1.36116845,103.9560139
26,EAST SPRING PRIMARY SCHOOL,EAST,E3,3,1,0,5,2,0.4,D,1.3528815,103.9619173
27,EAST SPRING SECONDARY SCHOOL,EAST,E3,3,0,1,8,1,0.125,E,1.35697385,103.9610806
28,FERN GREEN PRIMARY SCHOOL,EAST,E3,3,1,0,6,2,0.166666667,E,1.397140977,103.8797444
29,GONGSHANG PRIMARY SCHOOL,EAST,E3,3,1,0,8,3,0.375,D,1.3572,103.9492
30,JUNYUAN SECONDARY SCHOOL,EAST,E3,3,0,1,9,1,0,E,1.35317525,103.9335447
31,SENGKANG GREEN PRIMARY SCHOOL,EAST,E3,3,1,0,6,2,0.333333333,D,1.39288245,103.8748036
32,SPRINGDALE PRIMARY SCHOOL,EAST,E3,3,1,0,7,1,0.142857143,E,1.39500145,103.8897759
33,SPRINGFIELD SECONDARY SCHOOL,EAST,E3,3,0,1,8,5,0.625,C,1.34999395,103.9299857
34,YUMIN PRIMARY SCHOOL,EAST,E3,3,1,0,6,5,0.833333333,B,1.3512643,103.9508735
35,ANGLICAN HIGH SCHOOL,EAST,E4,4,0,1,10,4,0.4,D,1.33021825,103.9417594
36,CHANGKAT CHANGI SECONDARY SCHOOL,EAST,E4,4,0,1,9,4,0.444444444,D,1.3404936,103.9529718
37,CHANGKAT PRIMARY SCHOOL,EAST,E4,4,1,0,4,2,0.2,E,1.33982335,103.9522753
38,CHUNG CHENG HIGH (MAIN) SCHOOL,EAST,E4,4,0,1,10,2,0.2,E,1.3053551,103.8917708
39,DAMAI PRIMARY SCHOOL,EAST,E4,4,1,0,4,1,0.25,D,1.3354514,103.9213901
40,DAMAI SECONDARY SCHOOL,EAST,E4,4,0,1,6,1,0.166666667,E,1.337598,103.9268202
41,DUNMAN HIGH SCHOOL,EAST,E4,4,0,1,18,0,0.111111111,E,1.2994032,103.882215
42,KONG HWA SCHOOL,EAST,E4,4,1,0,8,1,0.125,E,1.3111918,103.8878575
43,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,EAST,E4,4,1,0,6,4,0.666666667,C,1.3349316,103.9408662
44,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,EAST,E4,4,0,1,10,5,0.5,C,1.334946,103.9423636
45,TELOK KURAU PRIMARY SCHOOL,EAST,E4,4,1,0,7,3,0.428571429,D,1.3308798,103.9113156
46,BROADRICK SECONDARY SCHOOL,EAST,E5,5,0,1,6,2,0.333333333,D,1.30726495,103.8868866
47,CANOSSA CATHOLIC PRIMARY SCHOOL,EAST,E5,5,1,0,4,2,0.25,D,1.3265886,103.8817147
48,GEYLANG METHODIST SCHOOL (PRI),EAST,E5,5,1,0,8,3,0.375,D,1.3182,103.8838
49,GEYLANG METHODIST SCHOOL (SEC),EAST,E5,5,0,1,7,6,0.857142857,B,1.31760385,103.8832512
50,HAIG GIRLS' SCHOOL,EAST,E5,5,1,0,6,3,0.444444444,D,1.31187845,103.9025669
51,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRI),EAST,E5,5,1,0,5,2,0.2,E,1.34993195,103.8849238
52,PAYA LEBAR METHODIST GIRLS' SCHOOL (SEC),EAST,E5,5,0,1,9,3,0.3,D,1.351416924,103.8848579
53,TANJONG KATONG GIRLS' SCHOOL,EAST,E5,5,0,1,3,2,0.666666667,C,1.309094441,103.8962217
54,TANJONG KATONG PRIMARY SCHOOL,EAST,E5,5,1,0,6,5,0.833333333,B,1.30532425,103.9004551
55,TANJONG KATONG SECONDARY SCHOOL,EAST,E5,5,0,1,8,3,0.375,D,1.30874385,103.8972354
