PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,latitude,longitude,LEVEL,ENROLMENT,2023_OSO,OSO_pct,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,special,mothertongue1_code,mothertongue2_code,mothertongue3_code,HMSP_Tier,HMSP_Score
1,ELIAS PARK PRIMARY SCHOOL,EAST,E1,1,1.375,103.9452,PRIMARY,1089,102,0.093663912,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,A,1
2,HAI SING CATHOLIC SCHOOL,EAST,E1,1,1.3745734,103.9551579,SECONDARY,1076,132,0.12267658,PASIR RIS,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,C,0.5
3,LOYANG VIEW SECONDARY SCHOOL,EAST,E1,1,1.3664422,103.9575296,SECONDARY,807,179,0.22180917,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,C,0.625
4,MERIDIAN PRIMARY SCHOOL,EAST,E1,1,1.37603155,103.9351592,PRIMARY,871,119,0.136624569,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.4
5,MERIDIAN SECONDARY SCHOOL,EAST,E1,1,1.36757525,103.9489427,SECONDARY,1059,134,0.126534466,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.375
6,PASIR RIS CREST SECONDARY SCHOOL,EAST,E1,1,1.37271,103.959761,SECONDARY,1077,136,0.126276695,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.375
7,PUNGGOL COVE PRIMARY SCHOOL,EAST,E1,1,1.41177135,103.8992443,PRIMARY,1688,214,0.126777251,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0
8,PUNGGOL GREEN PRIMARY SCHOOL,EAST,E1,1,1.40195935,103.8985497,PRIMARY,1607,175,0.108898569,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,B,0.857142857
9,PUNGGOL VIEW PRIMARY SCHOOL,EAST,E1,1,1.40532215,103.9052658,PRIMARY,1605,196,0.12211838,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,B,0.875
10,VALOUR PRIMARY SCHOOL,EAST,E1,1,1.4072779,103.8988557,PRIMARY,1340,97,0.07238806,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.166666667
