School,Vacancies 2C,Applicants 2C,Balloting 2C
Admiralty Primary School,70,109,Y
Ahmad Ibrahim Primary School,157,27,N
Ai Tong School,45,78,Y
Alexandra Primary School,127,141,Y
Anchor Green Primary School,128,36,N
Anderson Primary School,74,92,Y
Ang Mo Kio Primary School,85,29,N
Anglo-Chinese School (Junior),62,79,Y
ANGLO-CHINESE SCHOOL (PRI),53,68,Y
Angsana Primary School,95,167,Y
Beacon Primary School,84,31,N
Bedok Green Primary School,143,27,N
Bendemeer Primary School,143,30,N
Blangah Rise Primary School,77,18,N
Boon Lay Garden Primary School,121,27,N
Bukit Panjang Primary School,42,89,Y
Bukit Timah Primary School,111,71,N
Bukit View Primary School,242,27,N
Canberra Primary School,122,131,Y
Canossa Catholic Primary School,50,56,N
Cantonment Primary School,100,40,N
Casuarina Primary School,66,44,N
Catholic High School (Pri),40,52,Y
Cedar Primary School,151,38,N
Changkat Primary School,119,56,N
CHIJ (Katong),105,63,N
CHIJ (Kellock),128,49,N
CHIJ Our Lady of Good Counsel,101,40,N
CHIJ Our Lady of the Nativity,111,113,Y
CHIJ Our Lady Queen of Peace,105,59,N
CHIJ Primary School (Toa Payoh),55,69,Y
CHIJ St. Nicholas Girls' School (Pri),40,84,Y
Chongfu School,72,112,Y
Chongzheng Primary School,72,84,Y
Chua Chu Kang Primary School,62,111,Y
Clementi Primary School,214,51,N
Compassvale Primary School,101,133,Y
Concord Primary School,108,76,N
Corporation Primary School,118,31,N
Damai Primary School,87,22,N
Dazhong Primary School,85,83,N
De La Salle School,128,96,N
East Spring Primary School,130,64,N
Edgefield Primary School,162,46,N
Elias Park Primary School,61,101,Y
Endeavour Primary School,175,53,N
Evergreen Primary School,94,66,N
Fairfield Methodist School (Pri),40,66,Y
Farrer Park Primary School,164,37,N
Fengshan Primary School,96,75,N
Fern Green Primary School,61,73,Y
Fernvale Primary School,129,80,N
First Toa Payoh Primary School,119,9,N
Frontier Primary School,48,63,Y
Fuchun Primary School,95,45,N
Fuhua Primary School,128,54,N
Gan Eng Seng Primary School,115,27,N
Geylang Methodist School (Pri),132,134,Y
Gongshang Primary School,44,107,Y
Greendale Primary School,190,23,N
Greenridge Primary School,103,19,N
Greenwood Primary School,123,89,N
Haig Girls' School,97,108,Y
Henry Park Primary School,44,64,Y
Holy Innocents' Primary School,40,115,Y
Hong Wen School,69,151,Y
Horizon Primary School,44,81,Y
Hougang Primary School,76,98,Y
Huamin Primary School,61,95,Y
Innova Primary School,96,58,N
Jiemin Primary School,134,57,N
Jing Shan Primary School,61,62,N
Junyuan Primary School,81,58,N
Jurong Primary School,125,73,N
Jurong West Primary School,60,63,Y
Keming Primary School,82,138,Y
Kheng Cheng School,121,110,N
Kong Hwa School,57,84,Y
Kranji Primary School,60,21,N
Kuo Chuan Presbyterian Primary School,67,76,Y
Lakeside Primary School,119,112,N
Lianhua Primary School,252,36,N
Maha Bodhi School,63,82,Y
Maris Stella High School (Pri),55,77,Y
Marsiling Primary School,143,74,N
Marymount Convent School,188,56,N
Mayflower Primary School,121,30,N
Mee Toh School,116,145,Y
Meridian Primary School,157,22,N
Methodist Girls' School (Pri),43,63,Y
Montfort Junior School,113,25,N
Nan Chiau Primary School,89,264,Y
Nan Hua Primary School,40,192,Y
Nanyang Primary School,44,76,Y
Naval Base Primary School,58,89,Y
New Town Primary School,164,19,N
Ngee Ann Primary School,122,122,N
North Spring Primary School,173,38,N
North View Primary School,80,95,Y
North Vista Primary School,148,55,N
Northland Primary School,44,200,Y
Northoaks Primary School,137,20,N
Northshore Primary School,159,110,N
Oasis Primary School,61,63,N
Opera Estate Primary School,101,74,Y
Palm View Primary School,130,76,N
Park View Primary School,101,66,N
Pasir Ris Primary School,47,76,Y
Paya Lebar Methodist Girls' School (Pri),103,120,Y
Pei Chun Public School,52,81,Y
Pei Hwa Presbyterian Primary School,40,75,Y
Pei Tong Primary School,196,29,N
Peiying Primary School,121,49,N
Poi Ching School,82,197,Y
Princess Elizabeth Primary School,48,283,Y
Punggol Cove Primary School,113,82,N
Punggol Green Primary School,58,110,Y
Punggol Primary School,86,106,Y
Punggol View Primary School,92,51,N
Qifa Primary School,124,130,Y
Qihua Primary School,95,42,N
Queenstown Primary School,106,123,Y
Radin Mas Primary School,54,81,Y
Raffles Girls' Primary School,113,130,Y
Red Swastika School,42,89,Y
River Valley Primary School,60,73,Y
Riverside Primary School,59,90,Y
Rivervale Primary School,70,133,Y
Rosyth School,41,142,Y
Rulang Primary School,41,112,Y
Sembawang Primary School,75,67,N
Seng Kang Primary School,163,22,N
Sengkang Green Primary School,45,87,Y
Shuqun Primary School,60,97,Y
Si Ling Primary School,100,22,N
Singapore Chinese Girls' School (Pri),43,58,Y
South View Primary School,40,128,Y
Springdale Primary School,121,68,N
St. Andrew's Junior School,103,113,Y
St. Anthony's Canossian Primary School,165,36,N
St. Anthony's Primary School,102,114,Y
St. Gabriel's Primary School,77,52,N
St. Hilda's Primary School,40,136,Y
St. Joseph's Institution Junior,88,98,Y
St. Margaret's Primary School,122,78,N
St. Stephen's Primary School,160,58,N
Tampines North Primary School,138,47,N
Tampines Primary School,102,92,N
Tanjong Katong Primary School,87,108,Y
Tao Nan School,41,95,Y
Teck Ghee Primary School,84,64,N
Teck Whye Primary School,143,19,N
Telok Kurau Primary School,138,56,N
Temasek Primary School,48,116,Y
Townsville Primary School,104,27,N
Unity Primary School,88,44,N
Valour Primary School,84,102,Y
Waterway Primary School,120,77,N
Wellington Primary School,55,108,Y
West Grove Primary School,126,45,N
West Spring Primary School,79,85,Y
West View Primary School,82,41,N
Westwood Primary School,59,82,Y
White Sands Primary School,78,86,Y
Woodgrove Primary School,103,99,N
Woodlands Primary School,102,87,N
Woodlands Ring Primary School,105,53,N
Xinghua Primary School,203,34,N
Xingnan Primary School,143,43,N
Xinmin Primary School,62,100,Y
Xishan Primary School,116,43,N
Yangzheng Primary School,48,77,Y
Yew Tee Primary School,118,45,N
Yio Chu Kang Primary School,123,24,N
Yishun Primary School,141,54,N
Yu Neng Primary School,56,82,Y
Yuhua Primary School,160,23,N
Yumin Primary School,161,14,N
Zhangde Primary School,95,88,N
Zhenghua Primary School,76,44,N
Zhonghua Primary School,95,11,N
