School,COP,Quartile 1
Admiralty Secondary School,21,N
Ahmad Ibrahim Secondary School,17,N
Anderson Secondary School,10,Y
Ang Mo Kio Secondary School,16,N
Anglican High School,12,Y
ANGLO-CHINESE SCHOOL (BARKER ROAD),10,Y
Anglo-Chinese School (Indep),7,Y
Assumption English School,22,N
Bartley Secondary School,22,N
Beatty Secondary School,18,N
Bedok Green Secondary School,20,N
Bedok South Secondary School,19,N
Bedok View Secondary School,17,N
Bendemeer Secondary School,22,N
Boon Lay Secondary School,22,N
Bowen Secondary School,16,N
Broadrick Secondary School,22,N
Bukit Batok Secondary School,15,N
Bukit Merah Secondary School,22,N
Bukit Panjang Govt High School,11,Y
Bukit View Secondary School,19,N
Canberra Secondary School,22,N
Cedar Girls' Secondary School,9,Y
Changkat Changi Secondary School,22,N
CHIJ Katong Convent,15,N
CHIJ St. Joseph's Convent,14,N
CHIJ ST. NICHOLAS GIRLS' SCHOOL (SEC),9,Y
CHIJ St. Theresa's Convent,14,N
CHIJ Secondary School (Toa Payoh),10,Y
Christ Church Secondary School,18,N
CHUA CHU KANG SECONDARY SCHOOL (TECK WHYE SECONDARY SCHOOL),20,N
Chung Cheng High (Main) School,10,Y
Chung Cheng High (Yishun) School,12,Y
Clementi Town Secondary School,13,N
Commonwealth Secondary School,13,N
Compassvale Secondary School,19,N
Crescent Girls' School,11,Y
Damai Secondary School,22,N
Deyi Secondary School,17,N
Dunearn Secondary School,22,N
Dunman Secondary School,14,N
East Spring Secondary School,22,N
Edgefield Secondary School,14,N
Evergreen Secondary School,16,N
Fairfield Methodist School (Sec),10,Y
Fuhua Secondary School,13,N
Gan Eng Seng School,15,N
Geylang Methodist School (Sec),14,N
Greendale Secondary School,17,N
GREENRIDGE SECONDARY SCHOOL (FAJAR SECONDARY SCHOOL),22,N
Guangyang Secondary School,22,N
Hai Sing Catholic School,17,N
Hillgrove Secondary School,18,N
Holy Innocents' High School,14,N
Hougang Secondary School,22,N
Hua Yi Secondary School,15,N
Junyuan Secondary School,22,N
Jurong Secondary School,15,N
Jurong West Secondary School,17,N
Jurongville Secondary School,20,N
Juying Secondary School,22,N
Kent Ridge Secondary School,19,N
Kranji Secondary School,14,N
Kuo Chuan Presbyterian Secondary School,10,Y
Loyang View Secondary School,22,N
Manjusri Secondary School,22,N
MARIS STELLA HIGH SCHOOL (sec),12,Y
Marsiling Secondary School,22,N
Mayflower Secondary School,18,N
Meridian Secondary School,22,N
Methodist Girls' School (sec),8,Y
Montfort Secondary School,21,N
Nan Chiau High School,11,Y
Nan Hua High School,10,Y
Naval Base Secondary School,19,N
New Town Secondary School,20,N
Ngee Ann Secondary School,12,Y
North Vista Secondary School,18,N
Northbrooks Secondary School,22,N
Northland Secondary School,22,N
Orchid Park Secondary School,18,N
Outram Secondary School,22,N
Pasir Ris Crest Secondary School,18,N
Pasir Ris Secondary School,18,N
Paya Lebar Methodist Girls' School (Sec),11,Y
Pei Hwa Secondary School,16,N
Peicai Secondary School,22,N
Peirce Secondary School,20,N
Presbyterian High School,13,N
Punggol Secondary School,20,N
Queenstown Secondary School,22,N
Queensway Secondary School,17,N
Regent Secondary School,22,N
Riverside Secondary School,14,N
Sembawang Secondary School,22,N
Seng Kang Secondary School,20,N
Serangoon Garden Secondary School,22,N
Serangoon Secondary School,22,N
Springfield Secondary School,22,N
St. Andrew's Secondary School,10,Y
St. Anthony's Canossian Secondary School,15,N
St. Gabriel's Secondary School,17,N
St. Hilda's Secondary School,14,N
St. Joseph's Institution,9,Y
St. Margaret's Secondary School,12,Y
St. Patrick's School,14,N
Swiss Cottage Secondary School,11,Y
Tampines Secondary School,19,N
Tanjong Katong Girls' School,13,N
Tanjong Katong Secondary School,13,N
Temasek Secondary School,12,Y
Unity Secondary School,19,N
West Spring Secondary School,16,N
Westwood Secondary School,22,N
Whitley Secondary School,22,N
Woodgrove Secondary School,20,N
Woodlands Ring Secondary School,22,N
Woodlands Secondary School,22,N
Xinmin Secondary School,15,N
Yio Chu Kang Secondary School,22,N
Yishun Secondary School,20,N
Yishun Town Secondary School,13,N
Yuan Ching Secondary School,19,N
Yuhua Secondary School,22,N
Yusof Ishak Secondary School,15,N
Yuying Secondary School,22,N
Zhenghua Secondary School,19,N
Zhonghua Secondary School,13,N
Victoria School,8,Y
Temasek Junior College,8,Y
Dunman High School,8,Y
Nanyang Girls' High School,7,Y
Hwa Chong Institution,7,Y
River Valley High School,9,Y
Singapore Chinese Girls' School (sec),8,Y
CATHOLIC HIGH SCHOOL (SEC),8,Y
Raffles Girls' School (sec),6,Y
Raffles Inst,6,Y
